frame,+0x00,+0x04,+0x08,+0x0C,+0x10,+0x14,+0x18,+0x1C,+0x20,+0x24,+0x28,+0x2C,+0x30,+0x34,+0x38,+0x3C,+0x40,+0x44,+0x48,+0x4C,+0x50,+0x54,+0x58,+0x5C,+0x60,+0x64,+0x68,+0x6C,+0x70,+0x74,+0x78,+0x7C,+0x80,+0x84,+0x88,+0x8C,+0x90,+0x94,+0x98,+0x9C,+0xA0,+0xA4,+0xA8,+0xAC,+0xB0,+0xB4,+0xB8,+0xBC,+0xC0,+0xC4,+0xC8,+0xCC,+0xD0,+0xD4,+0xD8,+0xDC,+0xE0,+0xE4,+0xE8,+0xEC,+0xF0,+0xF4,+0xF8,+0xFC,+0x100,+0x104,+0x108,+0x10C,+0x110,+0x114,+0x118,+0x11C,+0x120,+0x124,+0x128,+0x12C,+0x130,+0x134,+0x138,+0x13C,+0x140,+0x144,+0x148,+0x14C,+0x150,+0x154,+0x158,+0x15C,+0x160,+0x164,+0x168,+0x16C,+0x170,+0x174,+0x178,+0x17C,+0x180,+0x184,+0x188,+0x18C,+0x190,+0x194,+0x198,+0x19C,+0x1A0,+0x1A4,+0x1A8,+0x1AC,+0x1B0,+0x1B4,+0x1B8,+0x1BC,+0x1C0,+0x1C4,+0x1C8,+0x1CC,+0x1D0,+0x1D4,+0x1D8,+0x1DC,+0x1E0,+0x1E4,+0x1E8,+0x1EC,+0x1F0,+0x1F4,+0x1F8,+0x1FC,+0x200,+0x204,+0x208,+0x20C,+0x210,+0x214,+0x218,+0x21C,+0x220,+0x224,+0x228,+0x22C,+0x230,+0x234,+0x238,+0x23C,+0x240,+0x244,+0x248,+0x24C,+0x250,+0x254,+0x258,+0x25C,+0x260,+0x264
0,0x00800000,0x00000000,0x00000068,0x00017964,0x005A624F,0x00000000,0x009249CD,0x00000000,0x00003FFD,0x00000000,0x00003FFF,0x00000002,0x00003FFD,0x00004000,0x005BDBB3,0x009249CD,0x00000000,0x00000000,0xFFD4561E,0x00000000,0xFFCEEAD8,0x00000000,0x00000002,0x00000001,0x00000000,0x00000000,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0x00000000,0x00000000,0x00000000,0x00000003,0x00001CF5,0x00001C8C,0x00000000,0x00000000,0x00000000,0x00000000,0x001E767C,0x0000055A,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x0597BCF0,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x0582A9FE,0x09129CC0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000148,0x00000000,0xFFFE869C,0x00000000,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00003FFD,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000034,0x00000034,0x00000034,0x00000034,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06078B68,0x0607E6D8,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000090,0x00003FFF,0x00000000,0x000662BD
1,0x00800000,0x00000000,0x00000068,0x00017964,0x005A624F,0x00000000,0x009249CD,0x00000000,0x00003FFD,0x00000000,0x00003FFF,0x00000002,0x00003FFD,0x00004000,0x005BDBB3,0x009249CD,0x00000000,0x00000000,0xFFD4561E,0x00000000,0xFFCEEAD8,0x00000000,0x00000002,0x00000001,0x00000000,0x00000000,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0x00000000,0x00000000,0x00000000,0x00000003,0x00001CF5,0x00001C8C,0x00000000,0x00000000,0x00000000,0x00000000,0x001E767C,0x0000055A,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x0597BCF0,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x0582A9FE,0x09129CC0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x00000148,0x00000000,0xFFFE869C,0x00000000,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00003FFD,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000034,0x00000034,0x00000034,0x00000034,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06078B68,0x0607E6D8,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000090,0x00003FFF,0x00000000,0x000662BD
2,0x00800000,0x00000000,0x0000006A,0x00017E16,0x0058E440,0x00000000,0x0092451D,0x00000000,0x00004005,0x00000000,0x00004084,0x00000043,0x00004005,0x00004000,0x005A624F,0x009249CD,0x00000120,0x00000000,0xFFD44B74,0x00000000,0xFFCEE02E,0x00000000,0xFFFFFF5E,0x00000001,0x00939AB8,0x00939AB8,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFF0,0xFFFFFFEE,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFF700,0x00000000,0x00000005,0x00010003,0x000011EB,0x00001A34,0x00000000,0x00000000,0x00000000,0x00000000,0x001F525C,0x000004B2,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F1072A,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x05AF7D98,0x08E5C925,0x00000000,0x00000000,0x00000000,0x00000044,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE81F1,0xFFFFFB50,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000034,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06078DD0,0x06078B68,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000091,0x00003FFF,0x00000000,0x000194BC
3,0x00800000,0x00000000,0x0000006A,0x00017E16,0x0058E440,0x00000000,0x0092451D,0x00000000,0x00004005,0x00000000,0x00004084,0x00000043,0x00004005,0x00004000,0x005A624F,0x009249CD,0x00000120,0x00000000,0xFFD44B74,0x00000000,0xFFCEE02E,0x00000000,0xFFFFFF5E,0x00000001,0x00939AB8,0x00939AB8,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFF0,0xFFFFFFEE,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFF700,0x00000000,0x00000005,0x00010003,0x000011EB,0x00001A34,0x00000000,0x00000000,0x00000000,0x00000000,0x001F525C,0x000004B2,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F1072A,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x05AF7D98,0x08E5C925,0x00000000,0x00000000,0x00000000,0x00000044,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE81F1,0xFFFFFB50,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000034,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06078DD0,0x06078B68,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000091,0x00003FFF,0x00000000,0x000194BC
4,0x00800000,0x00000000,0x0000006A,0x00017E16,0x0058E440,0x00000000,0x0092451D,0x00000000,0x00004005,0x00000000,0x00004084,0x00000043,0x00004005,0x00004000,0x005A624F,0x009249CD,0x00000120,0x00000000,0xFFD44B74,0x00000000,0xFFCEE02E,0x00000000,0xFFFFFF5E,0x00000001,0x00939AB8,0x00939AB8,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFF0,0xFFFFFFEE,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFF700,0x00000000,0x00000005,0x00010003,0x000011EB,0x00001A34,0x00000000,0x00000000,0x00000000,0x00000000,0x001F525C,0x000004B2,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F1072A,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x05AF7D98,0x08E5C925,0x00000000,0x00000000,0x00000000,0x00000044,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFFF,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE81F1,0xFFFFFB50,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004005,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000034,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06078DD0,0x06078B68,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000091,0x00003FFF,0x00000000,0x000194BC
5,0x00800000,0x00000000,0x0000006B,0x000182C7,0x005761A3,0x00000000,0x009239D8,0x00000000,0x00004087,0x00000000,0x00004137,0x00000074,0x00004087,0x00004000,0x0058E440,0x0092451D,0x00000310,0x00000000,0xFFD440CA,0x00000000,0xFFCED584,0x00000000,0xFFFFFE0E,0xFFFFFFC5,0x013C1ADA,0x013C1ADA,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFE3,0xFFFFFFD8,0xFFFFFFEE,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFE780,0x00000000,0x00000004,0x00010003,0x00001224,0x000017DC,0x00000000,0x00000000,0x00000000,0x00000000,0x001FC1E8,0x000004B1,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F1072A,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x05DF509A,0x08B5F622,0xFF6C6548,0x00000000,0x00000000,0x000000BE,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFBB,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE7D63,0xFFFFF4BB,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004087,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000035,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06079038,0x06078DD0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000092,0x00003FFF,0x00000000,0x000191EB
6,0x00800000,0x00000000,0x0000006B,0x000182C7,0x005761A3,0x00000000,0x009239D8,0x00000000,0x00004087,0x00000000,0x00004137,0x00000074,0x00004087,0x00004000,0x0058E440,0x0092451D,0x00000310,0x00000000,0xFFD440CA,0x00000000,0xFFCED584,0x00000000,0xFFFFFE0E,0xFFFFFFC5,0x013C1ADA,0x013C1ADA,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFE3,0xFFFFFFD8,0xFFFFFFEE,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFE780,0x00000000,0x00000004,0x00010003,0x00001224,0x000017DC,0x00000000,0x00000000,0x00000000,0x00000000,0x001FC1E8,0x000004B1,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F1072A,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x05DF509A,0x08B5F622,0xFF6C6548,0x00000000,0x00000000,0x000000BE,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFBB,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE7D63,0xFFFFF4BB,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004087,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000035,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06079038,0x06078DD0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000092,0x00003FFF,0x00000000,0x000191EB
7,0x00800000,0x00000000,0x0000006B,0x000182C7,0x005761A3,0x00000000,0x009239D8,0x00000000,0x00004087,0x00000000,0x00004137,0x00000074,0x00004087,0x00004000,0x0058E440,0x0092451D,0x00000310,0x00000000,0xFFD440CA,0x00000000,0xFFCED584,0x00000000,0xFFFFFE0E,0xFFFFFFC5,0x013C1ADA,0x013C1ADA,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFE3,0xFFFFFFD8,0xFFFFFFEE,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFE780,0x00000000,0x00000004,0x00010003,0x00001224,0x000017DC,0x00000000,0x00000000,0x00000000,0x00000000,0x001FC1E8,0x000004B1,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F1072A,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x05DF509A,0x08B5F622,0xFF6C6548,0x00000000,0x00000000,0x000000BE,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFFBB,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE7D63,0xFFFFF4BB,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004087,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000035,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06079038,0x06078DD0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000092,0x00003FFF,0x00000000,0x000191EB
8,0x00800000,0x00000000,0x0000006C,0x0001877A,0x0055DACB,0x00000000,0x009223A3,0x00000000,0x00004190,0x00000000,0x00004249,0x0000007D,0x00004190,0x00004000,0x005761A3,0x009239D8,0x00000538,0x00000000,0xFFD43620,0x00000000,0xFFCECADA,0x00000000,0xFFFFFC66,0xFFFFFF54,0x022E7273,0x022E7273,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFD8,0xFFFFFFC5,0xFFFFFFD8,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFD640,0x00000000,0x00000003,0x00010003,0x0000125C,0x00001584,0x00000000,0x00000000,0x00000000,0x00000000,0x00203287,0x000004B3,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F426DB,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x06034481,0x0892023A,0xFEC3E526,0x00000000,0x00000000,0x00000145,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFF7E,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE7928,0xFFFFE9CB,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004190,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000035,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06079038,0x06078DD0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000093,0x00003FFF,0x00000000,0x00019048
9,0x00800000,0x00000000,0x0000006C,0x0001877A,0x0055DACB,0x00000000,0x009223A3,0x00000000,0x00004190,0x00000000,0x00004249,0x0000007D,0x00004190,0x00004000,0x005761A3,0x009239D8,0x00000538,0x00000000,0xFFD43620,0x00000000,0xFFCECADA,0x00000000,0xFFFFFC66,0xFFFFFF54,0x022E7273,0x022E7273,0x000000FF,0x00000001,0x00000000,0x000000B8,0x000000FF,0x00000705,0xFFFF0000,0x00000000,0x00000000,0x00000038,0x00000038,0x00000000,0x00000000,0x00000000,0x00000001,0x00000000,0x00000000,0xFFFFFFD8,0xFFFFFFC5,0xFFFFFFD8,0x00000000,0x00000000,0x00000000,0x00000000,0x0604605C,0x11801180,0xFFFFD640,0x00000000,0x00000003,0x00010003,0x0000125C,0x00001584,0x00000000,0x00000000,0x00000000,0x00000000,0x00203287,0x000004B3,0x00000000,0x00010000,0x00010000,0x00010000,0xFFFFFD39,0x00000000,0x00000000,0x04F426DB,0x00000001,0x00000001,0x00000001,0x00000001,0x00000000,0x00000000,0x00000000,0x00000000,0x06034481,0x0892023A,0xFEC3E526,0x00000000,0x00000000,0x00000145,0x00000000,0x00000000,0x80008000,0x00000000,0x0000FFFF,0xFFFF0000,0x00000000,0x00000000,0xFFFFFF7E,0x00000000,0x00000000,0x0000014A,0x00000000,0xFFFE7928,0xFFFFE9CB,0x0003A443,0x0000C8F5,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00004190,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x060D6900,0x00000035,0x00000035,0x00000035,0x00000035,0x00000035,0x00000180,0x00000300,0x00000000,0x00000200,0x00000000,0x00000000,0x00000002,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x06079038,0x06078DD0,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000093,0x00003FFF,0x00000000,0x00019048
