name	insns_ours	insns_orig	delta	status	error_cat	diff_summary	hand_tuned
FUN_06002280	-	-	-	no_expected	-	-	tuned
FUN_06002348	-	-	-	no_expected	-	-	tuned
FUN_060023E6	-	-	-	no_expected	-	-	tuned
FUN_06002404	-	-	-	no_expected	-	-	tuned
FUN_0600245C	-	-	-	no_expected	-	-	tuned
FUN_06002486	-	-	-	no_expected	-	-	tuned
FUN_060024D8	-	-	-	no_expected	-	-	tuned
FUN_06002510	-	-	-	no_expected	-	-	tuned
FUN_0600255C	-	-	-	no_expected	-	-	tuned
FUN_06002594	-	-	-	no_expected	-	-	tuned
FUN_060026DC	-	-	-	no_expected	-	-	tuned
FUN_0600270A	-	-	-	no_expected	-	-	tuned
FUN_06002D88	-	-	-	no_expected	-	-	tuned
FUN_060030FC	95	111	-16	FAIL	delay_slot	40_diffs	tuned
FUN_06003218	58	46	12	FAIL	sign_ext	36_diffs	tuned
FUN_06003274	-	31	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_060032D4	29	27	2	FAIL	addressing	8_diffs	tuned
FUN_0600330A	51	44	7	FAIL	addressing	27_diffs	tuned
FUN_0600338C	44	45	-1	FAIL	call_encoding	47_diffs	tuned
FUN_060033E6	20	16	4	FAIL	call_encoding	18_diffs	tuned
FUN_06003430	24	27	-3	FAIL	call_encoding	25_diffs	tuned
FUN_06003578	295	336	-41	FAIL	call_encoding	239_diffs	tuned
FUN_060038D4	71	70	1	FAIL	call_encoding	27_diffs	tuned
FUN_060039C8	29	21	8	FAIL	call_encoding	20_diffs	tuned
FUN_060039F2	31	23	8	FAIL	call_encoding	20_diffs	tuned
FUN_06003A3C	-	1431	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06004670	304	520	-216	FAIL	multiply	456_diffs	tuned
FUN_06004A98	-	489	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06004F14	167	10	157	FAIL	call_encoding	157_diffs	tuned
FUN_0600508A	58	61	-3	FAIL	multiply	45_diffs	tuned
FUN_0600511E	26	30	-4	FAIL	call_encoding	32_diffs	tuned
FUN_06005174	18	18	0	FAIL	scheduling	4_diffs	tuned
FUN_06005198	117	125	-8	FAIL	delay_slot	86_diffs	tuned
FUN_06005294	-	114	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_060053AC	-	89	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_060054EA	11	12	-1	FAIL	addressing	3_diffs	tuned
FUN_0600553C	49	50	-1	FAIL	call_encoding	29_diffs	tuned
FUN_060055BC	-	210	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06005788	153	10	143	FAIL	call_encoding	143_diffs	tuned
FUN_060058FA	9	9	0	PASS	-	-	tuned
FUN_06005928	94	116	-22	FAIL	call_encoding	96_diffs	tuned
FUN_06005A22	77	96	-19	FAIL	call_encoding	83_diffs	tuned
FUN_06005AE8	-	190	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06005C98	-	152	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06005DD4	99	118	-19	FAIL	delay_slot	77_diffs	tuned
FUN_06005ECC	-	353	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_060061C8	84	77	7	FAIL	call_encoding	25_diffs	tuned
FUN_0600629C	-	290	-	compile_error	invalid_deref	invalid type argument of `unary *'	tuned
FUN_060064F2	-	332	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_060067C8	-	29	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06006838	17	19	-2	FAIL	multiply	14_diffs	tuned
FUN_06006868	-	262	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06006A9C	-	272	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06006CDC	-	286	-	compile_error	cc1_crash	void value not ignored as it ought to be	tuned
FUN_0600736C	95	2	93	FAIL	call_encoding	93_diffs	tuned
FUN_06007540	47	40	7	FAIL	multiply	43_diffs	tuned
FUN_06007590	71	62	9	FAIL	delay_slot	77_diffs	tuned
FUN_06007658	-	145	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06007790	-	154	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_060078DC	129	144	-15	FAIL	call_encoding	113_diffs	tuned
FUN_06007A50	-	163	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06007BCC	103	111	-8	FAIL	call_encoding	70_diffs	tuned
FUN_060081F4	119	141	-22	FAIL	call_encoding	122_diffs	tuned
FUN_06008318	-	105	-	compile_error	void_value	void value not ignored as it ought to be	tuned
FUN_06008418	40	36	4	FAIL	call_encoding	18_diffs	tuned
FUN_06008460	40	51	-11	FAIL	call_encoding	25_diffs	tuned
