# Mem write profile: 0x06078900-0x06078B67
# pc addr value size cycle
pc=0x06034FD6 addr=0x06078900 val=0x800000 sz=4
pc=0x06034FD6 addr=0x06078900 val=0x800000 sz=4
pc=0x0602FED2 addr=0x06078974 val=0x38 sz=4
pc=0x0602FED8 addr=0x0607896C val=0x0 sz=4
pc=0x0602FF16 addr=0x0607898C val=0x38 sz=4
pc=0x0602FF28 addr=0x06078990 val=0x38 sz=4
pc=0x0602FF2C addr=0x06078988 val=0x0 sz=4
pc=0x06030010 addr=0x060789A8 val=0x0 sz=4
pc=0x0602F052 addr=0x060789B0 val=0x0 sz=4
pc=0x0602F054 addr=0x060789B4 val=0x0 sz=4
pc=0x0602F094 addr=0x06078978 val=0x0 sz=4
pc=0x0602F0D6 addr=0x06078994 val=0x0 sz=4
pc=0x0602EED8 addr=0x06078B52 val=0x0 sz=2
pc=0x0602F41E addr=0x06078908 val=0x120 sz=4
pc=0x0602F452 addr=0x06078948 val=0xFFEF90DC sz=4
pc=0x0602EEDE addr=0x06078950 val=0xFFEF90DC sz=4
pc=0x0602F0FE addr=0x060789D0 val=0x0 sz=4
pc=0x0602F116 addr=0x06078984 val=0x0 sz=4
pc=0x0602EEEA addr=0x06078968 val=0x0 sz=4
pc=0x0602F194 addr=0x060789D8 val=0x0 sz=4
pc=0x0602EF24 addr=0x060789E4 val=0x1A3A sz=4
pc=0x0602EF2A addr=0x06078A14 val=0x0 sz=4
pc=0x0602F4D6 addr=0x060789D6 val=0x13 sz=2
pc=0x0602F5B2 addr=0x060789D6 val=0x14 sz=2
pc=0x0602F652 addr=0x06078A1C val=0xFEEB8CE7 sz=4
pc=0x0602F68C addr=0x060789EC val=0x0 sz=4
pc=0x0602F690 addr=0x060789F0 val=0x0 sz=4
pc=0x0602F6B6 addr=0x060789F4 val=0x0 sz=4
pc=0x0602EF36 addr=0x060789F8 val=0x52EEC8 sz=4
pc=0x06027370 addr=0x06078A00 val=0x0 sz=4
pc=0x0602EFE2 addr=0x06078A04 val=0x10000 sz=4
pc=0x0602C7F4 addr=0x06078A40 val=0x8BDBCB3 sz=4
pc=0x0602EF42 addr=0x06078A44 val=0x5CEA8F0 sz=4
pc=0x0602CAE0 addr=0x06078A48 val=0x0 sz=4
pc=0x0602CB3C addr=0x06078A08 val=0x10000 sz=4
pc=0x0602CBBC addr=0x06078A0C val=0x10000 sz=4
pc=0x0602CBEC addr=0x06078940 val=0x0 sz=4
pc=0x0602CD70 addr=0x06078B64 val=0xFFF7C09A sz=4
pc=0x0602CDEC addr=0x06078A0C val=0x10000 sz=4
pc=0x0602CC46 addr=0x060789C0 val=0x0 sz=4
pc=0x0602EF4E addr=0x060789FC val=0xFFFFFE45 sz=4
pc=0x0602D63A addr=0x06078A78 val=0x0 sz=4
pc=0x0602D650 addr=0x0607895C val=0x0 sz=4
pc=0x0602D76C addr=0x06078958 val=0x0 sz=4
pc=0x0602EF92 addr=0x0607895C val=0x0 sz=4
pc=0x0602CF16 addr=0x06078930 val=0xFFFFAAAB sz=4
pc=0x0602CF18 addr=0x06078A54 val=0x0 sz=4
pc=0x0602CF46 addr=0x0607892C val=0x0 sz=4
pc=0x0602CF50 addr=0x06078928 val=0xFFFFAAAB sz=4
pc=0x0602CF96 addr=0x06078960 val=0x0 sz=4
pc=0x0602CF98 addr=0x06078964 val=0x0 sz=4
pc=0x0602D05A addr=0x06078B58 val=0x14 sz=4
pc=0x0602D086 addr=0x06078930 val=0xFFFFAAAB sz=4
pc=0x0602D822 addr=0x0607890C val=0x3FFF6 sz=4
